date,win,podium,boatname,delta,ref,grp
2008-08-16,387.77,389.1,M2x,-22.53000000000003,M4-,M4-vM2x
2008-08-16,366.57,369.31,M4-,-2.740000000000009,M4-,M4-vM4-
2008-08-16,442.34,443.98,W1x,-77.410000000000025,M4-,M4-vW1x
2008-08-16,440.6,442.91,W2-,-76.34000000000003,M4-,M4-vW2-
2008-08-16,427.32,427.55,W2x,-60.98000000000002,M4-,M4-vW2x
2008-08-17,370.99,372.45,LM2x,-48.56,M8+,M8+vLM2x
2008-08-17,414.74,416.68,LW2x,-92.79000000000002,M8+,M8+vLW2x
2008-08-17,341.33,344.34,M4x,-20.44999999999999,M8+,M8+vM4x
2008-08-17,323.89,325.34,M8+,-1.4499999999999886,M8+,M8+vM8+
2008-08-17,376.06,379.56,W4x,-55.670000000000016,M8+,M8+vW4x
2008-08-17,365.34,367.25,W8+,-43.360000000000014,M8+,M8+vW8+
2009-08-29,393.35,398.53,M1x,-51.25,M4-,M4-vM1x
2009-08-29,375.93,383.01,M2-,-35.73000000000002,M4-,M4-vM2-
2009-08-29,367.02,367.86,M2x,-20.58000000000004,M4-,M4-vM2x
2009-08-29,347.28,351.11,M4-,-3.830000000000041,M4-,M4-vM4-
2009-08-29,431.78,436.22,W1x,-88.94000000000005,M4-,M4-vW1x
2009-08-29,426.28,426.94,W2-,-79.660000000000025,M4-,M4-vW2-
2009-08-29,407.18,410.16,W2x,-62.88000000000005,M4-,M4-vW2x
2009-08-29,391.34,396.87,W4-,-49.59000000000003,M4-,M4-vW4-
2009-08-30,370.62,375.08,LM2x,-50.94999999999999,M8+,M8+vLM2x
2009-08-30,411.46,416.67,LW2x,-92.54000000000002,M8+,M8+vLW2x
2009-08-30,338.33,339.85,M4x,-15.720000000000027,M8+,M8+vM4x
2009-08-30,324.13,328.32,M8+,-4.189999999999998,M8+,M8+vM8+
2009-08-30,378.41,384.27,W4x,-60.139999999999986,M8+,M8+vW4x
2009-08-30,365.34,367.43,W8+,-43.30000000000001,M8+,M8+vW8+
2010-11-05,433.47,438.31,LM2x,-28.090000000000032,M4-,M4-vLM2x
2010-11-05,486.2,489.14,LW2x,-80.82,M4-,M4-vLW2x
2010-11-05,405.38,408.38,M4-,0,M4-,M4-vM4-
2010-11-05,375.78,378.93,M4x,29.600000000000023,M4-,M4-vM4x
2010-11-05,441.09,444.56,W4-,-35.70999999999998,M4-,M4-vW4-
2010-11-05,432.78,435.26,W4x,-27.399999999999977,M4-,M4-vW4x
2010-11-06,407.49,409.83,M1x,-19.66999999999996,M2-,M2-vM1x
2010-11-06,390.16,396,M2-,-5.839999999999975,M2-,M2-vM2-
2010-11-06,467.61,469.64,W1x,-79.47999999999996,M2-,M2-vW1x
2010-11-06,437.12,442.46,W2-,-52.299999999999955,M2-,M2-vW2-
2010-11-07,382.63,388.54,M2x,-54.700000000000045,M8+,M8+vM2x
2010-11-07,333.84,335.96,M8+,-2.1200000000000045,M8+,M8+vM8+
2010-11-07,424.7,434.4,W2x,-100.56,M8+,M8+vW2x
2010-11-07,372.42,378.96,W8+,-45.120000000000005,M8+,M8+vW8+
2011-09-01,328.81,331.18,M8+,-2.3700000000000045,M8+,M8+vM8+
2011-09-01,418.16,423.98,W2-,-95.17000000000002,M8+,M8+vW2-
2011-09-01,378.37,383.33,W4x,-54.51999999999998,M8+,M8+vW4x
2011-09-02,370.76,374.31,M2x,-10.660000000000025,W8+,W8+vM2x
2011-09-02,363.65,366.03,W8+,-2.3799999999999955,W8+,W8+vW8+
2011-09-03,399.56,404.86,M1x,-65.55000000000001,M4x,M4xvM1x
2011-09-03,374.77,381.33,M2-,-42.01999999999998,M4x,M4xvM2-
2011-09-03,339.31,342.82,M4x,-3.509999999999991,M4x,M4xvM4x
2011-09-03,404.73,406.74,W2x,-67.43,M4x,M4xvW2x
2011-09-03,390.3,394.06,W4-,-54.75,M4x,M4xvW4-
2011-09-04,378.67,381.33,LM2x,-26.149999999999977,M4-,M4-vLM2x
